from_id,relationship,to_id,notes
EarlyOnsetSepsis,HAS_SYMPTOM,Lethargy,per NICE_REC_007
EarlyOnsetSepsis,HAS_SYMPTOM,FeedIntolerance,per NICE_REC_007
EarlyOnsetSepsis,HAS_SYMPTOM,Tachycardia,per NICE_REC_007
EarlyOnsetSepsis,HAS_SYMPTOM,RespiratoryDistress,per NICE_REC_007
EarlyOnsetSepsis,HAS_SYMPTOM,TemperatureInstability,per NICE_REC_007
LateOnsetSepsis,HAS_SYMPTOM,Lethargy,per NICE_REC_011
LateOnsetSepsis,HAS_SYMPTOM,Apnea,per NICE_REC_011
LateOnsetSepsis,HAS_SYMPTOM,Tachycardia,per NICE_REC_011
LateOnsetSepsis,HAS_SYMPTOM,TemperatureInstability,per NICE_REC_011
LateOnsetSepsis,HAS_SYMPTOM,FeedIntolerance,per NICE_REC_011
LateOnsetSepsis,HAS_SYMPTOM,Seizures,per NICE_REC_011
Meningitis,HAS_SYMPTOM,Seizures,per NICE_REC_014
Meningitis,HAS_SYMPTOM,Hypotension,per NICE_REC_014
NICE_REC_012,REQUIRES,BloodCulture,
NICE_REC_012,REQUIRES,CRP,
NICE_REC_013,REQUIRES,LumbarPuncture,
NICE_REC_014,REQUIRES,LumbarPuncture,
NICE_REC_015,REQUIRES,LumbarPuncture,
NICE_REC_018,REQUIRES,BloodCulture,
NICE_REC_019,REQUIRES,BloodCulture,
NICE_REC_030,REQUIRES,Creatinine,
NICE_REC_009,MONITOR_WITH,BloodCulture,
NICE_REC_017,MONITOR_WITH,CRP,
NICE_REC_017,MONITOR_WITH,BloodCulture,
NICE_REC_017,MONITOR_WITH,LumbarPuncture,
NICE_REC_020,MONITOR_WITH,BloodCulture,
NICE_REC_021,MONITOR_WITH,BloodCulture,
NICE_REC_021,MONITOR_WITH,CRP,
NICE_REC_022,MONITOR_WITH,BloodCulture,
NICE_REC_022,MONITOR_WITH,CRP,
NICE_REC_024,MONITOR_WITH,BloodCulture,
NICE_REC_024,MONITOR_WITH,CRP,
NICE_REC_025,MONITOR_WITH,BloodCulture,
NICE_REC_025,MONITOR_WITH,CRP,
NICE_REC_030,MONITOR_WITH,Creatinine,
NICE_REC_021,STOP_IF,EarlyOnsetSepsis,"stop at 36h if blood culture negative, low initial suspicion, reassuring clinical status and CRP trend"
NICE_REC_024,STOP_IF,LateOnsetSepsis,"consider stopping at 48h if blood culture negative, low initial suspicion, reassuring clinical status and CRP trend"
NICE_REC_016,STOP_IF,EarlyOnsetSepsis,CRP alone must not determine stop/continue decisions
NICE_REC_016,STOP_IF,LateOnsetSepsis,CRP alone must not determine stop/continue decisions
NICE,RECOMMENDS,NICE_REC_033,
NICE,RECOMMENDS,NICE_REC_034,
NICE,RECOMMENDS,NICE_REC_035,
NICE,RECOMMENDS,NICE_REC_036,
NICE,RECOMMENDS,NICE_REC_037,
NICE,RECOMMENDS,NICE_REC_038,
NICE,RECOMMENDS,NICE_REC_039,
NICE,RECOMMENDS,NICE_REC_040,
NICE_REC_033,SUPPORTED_BY,NICE_S_PC01,page 9
NICE_REC_034,SUPPORTED_BY,NICE_S_PC02,page 9
NICE_REC_035,SUPPORTED_BY,NICE_S_PC03,page 9
NICE_REC_036,SUPPORTED_BY,NICE_S_PC04,page 9
NICE_REC_037,SUPPORTED_BY,NICE_S_PC05,page 9
NICE_REC_038,SUPPORTED_BY,NICE_S_PC06,page 13
NICE_REC_039,SUPPORTED_BY,NICE_S_NF01,page 9
NICE_REC_040,SUPPORTED_BY,NICE_S_NF02,page 45
NICE_REC_037,HAS_RISK_FACTOR,MaternalGBSColonization,
NICE_REC_040,STOP_IF,Meningitis,fluid management specific to confirmed bacterial meningitis
