chunk_id,source,page,section,subsection,recommendation_id,chunk_type,chars,chunk_text
WHO_pg4_critical-outcomes_chunk1,WHO,3,Critical outcomes,,,paragraph,935,"Source: WHO
Section: Critical outcomes

For this comparison, which assesses the accuracy of the 7-sign IMCI algorithm (by any cadre of health worker) to diagnose sepsis in infants aged 0–59 days, one study with 8889 participants assessed sensitivity and specificity (17). (Full details are provided in GRADE Table A.1.1 in the Web Annex). ■Physician judgement of sepsis as the reference standard: Moderate-certainty evidence suggests fair diagnostic accuracy for sensitivity 0.79 (1 study, 8889 participants, 95% CI: 0.77 to 0.82) and fair diagnostic accuracy for specificity 0.77 (1 study, 8889 participants, 95% CI: 0.76 to 0.78). ■Culture-confirmed sepsis as the reference standard: No studies ■Mortality as the reference standard: No studies For the same comparison in the subset of infants aged 0–6 days, two studies assessed sensitivity and specificity (17, 60). (Full details are provided in GRADE Table A.1.2 in the Web Annex)."
WHO_pg4_critical-outcomes_chunk2,WHO,3,Critical outcomes,,,paragraph,933,"Source: WHO
Section: Critical outcomes

■Culture-confirmed sepsis as the reference standard: No studies ■Mortality as the reference standard: No studies For the same comparison in the subset of infants aged 0–6 days, two studies assessed sensitivity and specificity (17, 60). (Full details are provided in GRADE Table A.1.2 in the Web Annex). ■Physician judgement of sepsis as the reference standard: Low-certainty evidence suggests good diagnostic accuracy for sensitivity 0.84 (2 studies, 3572 participants, 95% CI: 0.81 to 0.87) and fair diagnostic accuracy for specificity 0.78 (2 studies, 3572 participants, 95% CI: 0.76 to 0.79). ■Culture-confirmed sepsis as the reference standard: No studies ■Mortality as the reference standard: No studies For the same comparison in the subset of infants aged 7–59 days, one study assessed sensitivity and specificity (17). (Full details are provided in GRADE Table A.1.3 in the Web Annex)."
WHO_pg4_critical-outcomes_chunk3,WHO,3,Critical outcomes,,,paragraph,715,"Source: WHO
Section: Critical outcomes

■Culture-confirmed sepsis as the reference standard: No studies ■Mortality as the reference standard: No studies For the same comparison in the subset of infants aged 7–59 days, one study assessed sensitivity and specificity (17). (Full details are provided in GRADE Table A.1.3 in the Web Annex). ■Physician judgement of sepsis as the reference standard: Low-certainty evidence suggests fair diagnostic accuracy both for sensitivity 0.74 (1 study, 5712 participants, 95% CI: 0.68 to 0.81)
and specificity 0.79 (1 study, 5712 participants, 95% CI: 0.73 to 0.84). ■Culture-confirmed sepsis as the reference standard: No studies ■Mortality as the reference standard: No studies"
WHO_pg4_other-studies_chunk1,WHO,3,Other studies,,,paragraph,511,"Source: WHO
Section: Other studies

One systematic review by Lee et al. (2014) examined the accuracy of the assessment of PSBI in infants aged 0–59 days by CHWs based at PHC acilities in low- and middle-income countries (LMICs) (61).
This review reported that frontline health workers diagnosed very severe disease (including PSBI) with a sensitivity of 82% (95% CI: 76%–88%) and specificity of 69% (95% CI: 54%–83%) compared with trained physicians (reference standard) in eight studies of 11 857 infants (61)."
WHO_pg4_additional-consideration_chunk1,WHO,3,Additional considerations,,,paragraph,388,"Source: WHO
Section: Additional considerations

The GDG also assessed other non-IMCI sign checklists and more complex IMCI algorithms with additional clinical signs, but no other algorithms were identified that were more accurate than the WHO 7-sign IMCI algorithm (59). The GDG also considered that the other algorithms were not feasible for implementation in PHC settings in many LMICs."
WHO_pg5_accuracy-evidence_chunk1,WHO,4,accuracy evidence,,,paragraph,551,"Source: WHO
Section: accuracy evidence

0–59 days and 7–59 days: Fair sensitivity and fair specificity ᵃ of the 7-sign IMCI algorithm compared with physician judgement of sepsis as the reference standard; there was no evidence for either culture-confirmed sepsis or mortality as the reference standard.
0–6 days: Good sensitivity and fair specificity ᵃ of the 7-sign IMCI algorithm compared with physician judgement of sepsis as the reference standard; there was no evidence for either culture- confirmed sepsis or mortality as the reference standard."
WHO_pg5_equity_chunk1,WHO,4,Equity,,,table,600,"Source: WHO
Section: Equity

Evidence Profile
• Summary of diagnostic accuracy evidence: 0–59 days and 7–59 days: Fair sensitivity and fair specificity ᵃ of the 7-sign IMCI algorithm compared with physician judgement of sepsis as the reference standard; there was no evidence for either culture-confirmed sepsis or mortality as the reference standard. 0–6 days: Good sensitivity and fair specificity ᵃ of the 7-sign IMCI algorithm compared with physician judgement of sepsis as the reference standard; there was no evidence for either culture- confirmed sepsis or mortality as the reference standard."
WHO_pg6_recommendation-a-2-updat_rec1_chunk1,WHO,5,Recommendation A.2 (UPDATED),,rec1,recommendation,346,"Source: WHO
Section: Recommendation A.2 (UPDATED)
Recommendation: rec1

Recommendation: Young infants aged 0–59 days with the IMCI signs of critical illness should be referred to hospital. If referral is not possible, ampicillin IM/IV plus gentamicin IM/IV for at least 10 days is recommended. (Strong recommendation, very low-certainty evidence)"
WHO_pg6_remarks_chunk1,WHO,5,Remarks,,,paragraph,837,"Source: WHO
Section: Remarks

■There were no included trials. ■The GDG recognized that there were limited data on the appropriate dose of antibiotics. Based on current clinical practice, the GDG considered that the following antibiotic doses should be used: ampicillin intramuscular or intravenous (IM/IV) 50 mg/kg every 12 hours in the first week of life and every 8 hours after the first week of life for a total of at least 10 days plus gentamicin IM/IV 5 mg/kg once a day in the first week of life and 7.5 mg/kg once a day after the first week of life for a total of at least 10 days. ■The GDG made a strong recommendation despite the lack of trials in non-hospital settings as they felt strongly about the importance of providing clear guidance for the management of critically ill infants when referral to hospital is not possible."
WHO_pg6_remarks_chunk2,WHO,5,Remarks,,,paragraph,440,"Source: WHO
Section: Remarks

■The GDG made a strong recommendation despite the lack of trials in non-hospital settings as they felt strongly about the importance of providing clear guidance for the management of critically ill infants when referral to hospital is not possible. The GDG were able to use their knowledge and experience in best practice clinical management of sepsis in young infants to make this recommendation by consensus."
WHO_pg6_background-and-definitio_chunk1,WHO,5,Background and definitions,,,paragraph,927,"Source: WHO
Section: Background and definitions

Critical illness is defined as one or more of the following clinical signs: not able to feed at all, no movement on stimulation, convulsions in an infant aged 0–59 days (27, 28). There are pre-existing WHO recommendations (i) to provide ampicillin plus gentamicin via the intramuscular or intravenous (IM or IV) routes for at least 10 days to hospitalized infants with critical illness (13) and (ii) that infants who have any sign of critical illness identified in the community should be hospitalized after a single dose of pre-referral treatment with ampicillin or benzyl penicillin and gentamicin IM/IV (11). These recommendations were made in 2013 and 2015 on the basis of GDG expert opinion (27, 28). However, there has been no WHO guidance on “follow- up” doses of antibiotics after initial treatment of infants in the community where referral to hospital is not possible."
WHO_pg6_background-and-definitio_chunk2,WHO,5,Background and definitions,,,paragraph,459,"Source: WHO
Section: Background and definitions

However, there has been no WHO guidance on “follow- up” doses of antibiotics after initial treatment of infants in the community where referral to hospital is not possible. There have also been changes to antimicrobial resistance (AMR) and new technologies for improving access to health facilities through telehealth and online platforms and community ambulances, especially in humanitarian settings (62, 63)."
WHO_pg7_overview_chunk1,WHO,6,Overview,,,paragraph,297,"Source: WHO
Section: Overview

Question: Among young infants aged 0–59 days with critical illness,ᵃ in non-hospital settings, what is the effect of alternative antibiotic regimens compared with WHO-recommended antibiotic regimens on critical outcomes? What is the effectiveness in specific strata?"
WHO_pg7_population-index-test-re_chunk1,WHO,6,"Population, index test, reference standard and diagnosis of interest (PIRD) details",,,paragraph,524,"Source: WHO
Section: Population, index test, reference standard and diagnosis of interest (PIRD) details

Population: Young infants aged 0–59 days with critical illness Intervention: Alternative antibiotic regimens Comparator: WHO-recommended antibiotic regimens containing penicillin or ampicillin IM/IV plus gentamicin IM/IV Outcomes (critical outcomes): All-cause or cause-specific mortality, morbidity (treatment failure,ᵇ treatment success,ᵇ hospitalizations, adverse events) or neurodevelopmental impairment/disability"
WHO_pg7_sources-and-characterist_chunk1,WHO,6,Sources and characteristics of studies,,,paragraph,464,"Source: WHO
Section: Sources and characteristics of studies

The effectiveness evidence was derived from a systematic review that identified 2390 trials in infants aged 0–59 days, of which 41 RCTs met the inclusion criteria (64). Among these, 35 trials examined hospital-based regimens for when hospital referral was possible. Six trials examined WHO non-hospital-based regimens, however none of these six trials examined regimens in infants with critical illness."
WHO_pg9_recommendation-a-3a-upda_rec1_chunk1,WHO,8,Recommendation A.3a (UPDATED),,rec1,recommendation,313,"Source: WHO
Section: Recommendation A.3a (UPDATED)
Recommendation: rec1

Recommendation: Young infants aged 0–59 days with the IMCI signs of clinical severe infection should be referred to hospital.
If referral is not possible then oral amoxicillin for at least 7 days plus gentamicin IM/IV for at least 7 days is"
WHO_pg9_remarks_chunk1,WHO,8,Remarks,,,paragraph,954,"Source: WHO
Section: Remarks

■The recommendation was based on four trials of 9823 infants aged 0–59 days in rural and semi-urban PHC facilities in five countries: Bangladesh, Democratic Republic of the Congo, Kenya, Nigeria and Pakistan. The trials all compared simplified regimens that included oral antibiotics (oral amoxicillin or cotrimoxazole) versus the comparator – WHO-recommended treatment of penicillin IM for 7 days plus gentamicin IM for 7 days. Four regimens were tested. ― Regimen 1: oral cotrimoxazole for 7 days plus gentamicin IM/IV for 7 days ― Regimen 2: procaine penicillin IM/IV plus gentamicin IM/IV for 2 days followed by oral amoxicillin for 5 days ― Regimen 3: oral amoxicillin for 7 days plus gentamicin IM/IV for 2 days ― Regimen 4: oral amoxicillin for 7 days plus gentamicin IM/IV for 7 days. ■The GDG considered that regimen 1 may cause harm (increased mortality, treatment failure, adverse events) so did not recommend it."
WHO_pg9_remarks_chunk2,WHO,8,Remarks,,,paragraph,812,"Source: WHO
Section: Remarks

■The GDG considered that regimen 1 may cause harm (increased mortality, treatment failure, adverse events) so did not recommend it. ■The GDG considered that regimen 2 had no benefit over the comparator (penicillin plus gentamicin IM for 7 days)
so did not recommend it. ■The GDG considered that regimens 3 and 4 may improve critical outcomes when compared with penicillin plus gentamicin IM for 7 days (the comparator). The GDG noted that the evidence for both regimen 3 and 4 was low certainty: evidence for regimen 3 was available only from a single trial in Africa (Democratic Republic of the Congo, Kenya and Nigeria) while for regimen 4 data were available from three trials from both Asia and Africa (Bangladesh, Democratic Republic of the Congo, Kenya, Nigeria and Pakistan)."
WHO_pg9_remarks_chunk3,WHO,8,Remarks,,,paragraph,788,"Source: WHO
Section: Remarks

The GDG noted that the evidence for both regimen 3 and 4 was low certainty: evidence for regimen 3 was available only from a single trial in Africa (Democratic Republic of the Congo, Kenya and Nigeria) while for regimen 4 data were available from three trials from both Asia and Africa (Bangladesh, Democratic Republic of the Congo, Kenya, Nigeria and Pakistan). ■Thus, the GDG made a strong recommendation for regimen 4 and a conditional recommendation for regimen 3, meaning that if regimen 4 was not possible (i.e. if 7 days of gentamicin was not feasible), then regimen 3 may be considered (i.e. gentamicin for only 2 days). ■The evidence for regimen 4 was judged to be of moderate certainty in the previous guideline and low certainty in this guideline."
WHO_pg9_remarks_chunk4,WHO,8,Remarks,,,paragraph,920,"Source: WHO
Section: Remarks

■The evidence for regimen 4 was judged to be of moderate certainty in the previous guideline and low certainty in this guideline. The evidence was considered to be low certainty as there was serious imprecision for treatment failure (RR 0.86, 95% CI: 0.72 to 1.02) and a serious risk of bias (substantial number of missing participants relative to outcome events in both arms of the study, and poor adherence by the parent to parental administration in the oral amoxicillin arm). ■The GDG also emphasized that it was important to continue parenteral antibiotics for such a serious condition as septicaemia for at least 7 days where feasible. ■The GDG made these recommendations recognizing that regimen 4 would have additional costs (e.g. the cost of the longer duration of antibiotics and additional staff time). ■The GDG recognized that there were limited data on the dose of antibiotics."
WHO_pg9_remarks_chunk5,WHO,8,Remarks,,,paragraph,764,"Source: WHO
Section: Remarks

■The GDG made these recommendations recognizing that regimen 4 would have additional costs (e.g. the cost of the longer duration of antibiotics and additional staff time). ■The GDG recognized that there were limited data on the dose of antibiotics. Based on the trials included in the evidence review, the GDG considered that the following antibiotic doses should be used: oral amoxicillin 50 mg/kg every 12 hours in the first week of life and every 8 hours after the first week of life for a total of at least 7 days plus gentamicin IM/IV 5 mg/kg once a day in the first week of life and 7.5 mg/kg once a day after the first week of life for a total of at least 7 days (regimen 4) or for 2 days if 7 days is not possible (regimen 3)."
WHO_pg10_26_chunk1,WHO,9,26,,,paragraph,429,"Source: WHO
Section: 26

■The GDG made a strong recommendation despite the limited evidence in non-hospital settings as they felt strongly about the importance of providing clear guidance for the management of unwell infants when referral to hospital is not possible. The GDG were able to use their knowledge and experience in best practice clinical management of sepsis in young infants to make this recommendation by consensus."
WHO_pg10_background-and-definitio_chunk1,WHO,9,Background and definitions,,,paragraph,819,"Source: WHO
Section: Background and definitions

Clinical severe infection is defined by WHO as one or more of the following clinical signs in infants aged 0–59 days: not feeding well, movement only when stimulated, high body temperature (≥ 38 °C), low body temperature (< 35.5 °C), and/or severe chest indrawing. An additional sign of clinical severe infection in infants aged 0–6 days is fast breathing (≥ 60 breaths per minute) (27, 28).
In 2014, WHO developed guidelines to provide simplified antibiotic regimens (gentamicin IM for either 2 or 7 days plus oral amoxicillin for 7 days) to infants aged 0–59 days with clinical severe illness whose families do not accept or cannot access referral care at a hospital (27, 28). However, there have been changes to AMR in hospital and community settings since that time."
WHO_pg10_overview_chunk1,WHO,9,Overview,,,paragraph,306,"Source: WHO
Section: Overview

Question: Among young infants aged 0–59 days with clinical severe infection,ᵃ in non-hospital settings, what is the effect of alternative antibiotic regimens compared with WHO-recommended antibiotic regimens on critical outcomes? What is the effectiveness in specific strata?"
WHO_pg10_population-intervention-_chunk1,WHO,9,"Population, intervention, comparator and outcomes (PICO) details",,,paragraph,538,"Source: WHO
Section: Population, intervention, comparator and outcomes (PICO) details

Population: Young infants aged 0–59 days with clinical severe infection Intervention: Alternative antibiotic regimens Comparator: WHO-recommended antibiotic regimens containing oral amoxicillin, penicillin IM/IV or ampicillin IM/IV plus gentamicin IM/IV Outcomes (critical outcomes): All-cause or cause-specific mortality, morbidity (treatment failure,ᵇ treatment success,ᵇ hospitalizations, adverse events) or neurodevelopmental impairment/disability"
WHO_pg11_sources-and-characterist_chunk1,WHO,10,Sources and characteristics of studies,,,paragraph,746,"Source: WHO
Section: Sources and characteristics of studies

The effectiveness evidence was derived from a systematic review that identified 2390 studies in infants aged 0–59 days, of which 41 RCTs met the inclusion criteria (64). Among these, 35 trials examined hospital-based regimens for when hospital referral was possible and six trials examined WHO non-hospital-based regimens. Four trials of 9823 infants aged 0–59 days with clinical severe infection in rural and semi-urban PHC facilities in five countries (Bangladesh, Democratic Republic of the Congo, Kenya, Nigeria and Pakistan) compared simplified regimens that included oral antibiotics (oral amoxicillin or cotrimoxazole) versus penicillin IM plus gentamicin IM for 7 days (65-68)."
WHO_pg11_critical-outcomes_chunk1,WHO,10,Critical outcomes,,,paragraph,650,"Source: WHO
Section: Critical outcomes

For this comparison (using regimen 1, as labelled above), one study with 288 participants assessed the following outcomes with the following findings (68).
■Mortality: Moderate-certainty evidence suggests increased all-cause mortality after two weeks (1 RCT, 288 participants, RR 5.58, 95% CI: 1.26 to 24.72).
■Treatment failure: Moderate-certainty evidence suggests increased treatment failure after 7 days (1 RCT, 288 participants, RR 2.03, 95% CI: 1.09 to 3.79).
■Treatment success: Moderate-certainty evidence suggests a decrease in treatment success after 7 days (1 RCT, 288 participants, RR 0.90, 95% CI:"
WHO_pg11_critical-outcomes_chunk2,WHO,10,Critical outcomes,to 0.99).,,paragraph,338,"Source: WHO
Section: Critical outcomes
Topic: to 0.99).

■Adverse events: Not possible to estimate due to very low-certainty evidence (1 RCT, 288 participants, RR 5.07, 95% CI: 0.25 to 104.67).
No studies assessed hospitalizations or neurodevelopment for this comparison. (Full details are provided in GRADE Table A.3.1 in the Web Annex)."
WHO_pg11_critical-outcomes_chunk3,WHO,10,Critical outcomes,,,paragraph,953,"Source: WHO
Section: Critical outcomes

For this comparison (using regimen 2, as labelled above), one, two or three trials assessed the following outcomes with the following findings. ■Mortality: Very low-certainty evidence suggests little or no difference in all-cause mortality after two weeks (3 RCTs, 5066 participants, RR 1.16, 95% CI: 0.77 to 1.75) (65-67). ■Treatment failure: Moderate-certainty evidence suggests little or no difference in treatment failure after one week (3 RCTs, 5066 participants, RR 0.98, 95% CI: 0.81 to 1.19) (65-67). ■Relapse: Very low-certainty evidence from two trials of 3329 participants suggests a decrease in relapse after two weeks (2 RCTs, 3329 participants, RR 0.55, 95% CI: 0.16 to 1.97) (65, 66). ■Treatment success: Low-certainty evidence from one trial of 1639 participants suggests little or no difference in treatment success after 11–15 days (1 RCT, 1639 participants, RR 1.01, 95% CI: 0.98 to 1.05) (65)."
WHO_pg11_critical-outcomes_chunk4,WHO,10,Critical outcomes,,,paragraph,778,"Source: WHO
Section: Critical outcomes

■Treatment success: Low-certainty evidence from one trial of 1639 participants suggests little or no difference in treatment success after 11–15 days (1 RCT, 1639 participants, RR 1.01, 95% CI: 0.98 to 1.05) (65). ■Hospitalizations: Low-certainty evidence from two trials of 3276 participants suggests little or no difference in hospitalizations after two weeks (2 RCTs, 3276 participants, RR 0.91, 95% CI: 0.69 to 1.22) (66, 67). ■Adverse events: Low-certainty evidence suggests little or no difference in serious adverse events after two weeks (3 RCTs, 5066 participants, RR 0.89, 95% CI: 0.22 to 3.57) (65-67). No studies assessed neurodevelopment for this comparison. (Full details are provided in GRADE Table A.3.2 in the Web Annex)."
WHO_pg12_critical-outcomes_chunk1,WHO,11,Critical outcomes,,,paragraph,567,"Source: WHO
Section: Critical outcomes

For this comparison (using regimen 3, as labelled above), one trial assessed the following outcomes with the following findings (65).
■Mortality: Very low-certainty evidence suggests little or no difference in all-cause mortality after 7 days (1 RCT, 1784 participants, RR 0.91, 95% CI: 0.39 to 2.14) and after two weeks (1 RCT, 1784 participants, RR 0.92, 95% CI: 0.41 to 2.08).
■Treatment failure: Moderate-certainty evidence suggests a decrease in treatment failure after one week (1 RCT, 1784 participants, RR 0.67, 95% CI:"
WHO_pg12_critical-outcomes_chunk2,WHO,11,Critical outcomes,to 0.95).,,paragraph,513,"Source: WHO
Section: Critical outcomes
Topic: to 0.95).

■Relapse: Very low-certainty evidence suggests little or no difference in relapse after two weeks (1 RCT, 1676 participants, RR 0.85, 95% CI: 0.31 to 2.35).
■Adverse events: Not possible to estimate due to very low-certainty evidence (1 RCT, 1784 participants, RR 0.33, 95% CI: 0.01 to 8.22).
No studies assessed treatment success, hospitalizations or neurodevelopment for this comparison. (Full details are provided in GRADE Table A.3.3 in the Web Annex)."
WHO_pg12_critical-outcomes_chunk3,WHO,11,Critical outcomes,,,paragraph,880,"Source: WHO
Section: Critical outcomes

For this comparison (using regimen 4, as labelled above), one, two and three studies assessed the following outcomes with the following findings. ■Mortality: Low-certainty evidence suggests little or no difference in all-cause mortality after two weeks (3 RCTs, 5054 participants, RR 0.86, 95% CI: 0.55 to 1.34) (65-67). ■Treatment failure: Low-certainty evidence suggests little or no difference in treatment failure after one week (3 RCTs, 5054 participants, RR 0.86, 95% CI: 0.72 to 1.02) (65-67). ■Relapse: Low-certainty evidence suggests little or no difference in relapse after two weeks (2 RCTs, 3294 participants, RR 1.05, 95% CI: 0.57 to 1.93) (65, 66). ■Treatment success: Low-certainty evidence suggests little or no difference in treatment success after 11–15 days (1 RCT, 1640 participants, RR 0.99, 95% CI: 0.97 to 1.03) (65)."
WHO_pg12_critical-outcomes_chunk4,WHO,11,Critical outcomes,,,paragraph,677,"Source: WHO
Section: Critical outcomes

■Treatment success: Low-certainty evidence suggests little or no difference in treatment success after 11–15 days (1 RCT, 1640 participants, RR 0.99, 95% CI: 0.97 to 1.03) (65). ■Hospitalizations: Low-certainty evidence suggests a decrease in hospitalization after two weeks (2 trials, 3276 participants, RR 0.78, 95% CI: 0.58 to 1.05) (66, 67). ■Adverse events: Low-certainty evidence suggests little or no difference in serious adverse events (3 RCTs, 5054 participants, RR 1.00, 95% CI: 0.27 to 3.69) (65-67). No studies assessed neurodevelopment for this comparison. (Full details are provided in GRADE Table A.3.4 in the Web Annex)."
WHO_pg13_other-studies_chunk1,WHO,12,Other studies,,,paragraph,684,"Source: WHO
Section: Other studies

A systematic review by Duby et al. (2019) (69) of community-based antibiotic delivery for PSBI in neonates in LMICs located five additional trials with a total of 145 899 participants that compared hospital referral to community-based packages which combined antibiotics with other co-interventions. The meta-analysis from Duby et al. concluded that community-based antibiotic packages reduced neonatal mortality when compared with standard hospital referral for neonatal PSBI in resource-limited settings, though the use of co-interventions prevented disentanglement of their contribution from that of the community-based antibiotic packages (69)."
WHO_pg13_other-studies_chunk2,WHO,12,Other studies,,,paragraph,714,"Source: WHO
Section: Other studies

The meta-analysis from Duby et al. concluded that community-based antibiotic packages reduced neonatal mortality when compared with standard hospital referral for neonatal PSBI in resource-limited settings, though the use of co-interventions prevented disentanglement of their contribution from that of the community-based antibiotic packages (69). Duby et al. also concluded that simplified, community- based treatment of PSBI using regimens that rely on the combination of oral and injectable antibiotics does not result in increased neonatal mortality when compared with the standard treatment of using only injectable antibiotics (i.e. the control for this comparison) (69)."
WHO_pg13_other-studies_chunk3,WHO,12,Other studies,,,paragraph,1011,"Source: WHO
Section: Other studies

Duby et al. also concluded that simplified, community- based treatment of PSBI using regimens that rely on the combination of oral and injectable antibiotics does not result in increased neonatal mortality when compared with the standard treatment of using only injectable antibiotics (i.e. the control for this comparison) (69). A meta-analysis by Longombe et al. (2022) (70) of pooled individual patient-level data from three trials in Africa and Asia (65-67) (including 5075 intention- to-treat [ITT] participants and 4729 per protocol [PP] participants analysed for the primary outcome)
reported a reduced risk of the primary outcome (poor clinical outcome defined as death by day 15, treatment failure by day 7 or non-fatal relapse between days 8 and 15) in infants who received oral amoxicillin for 7 days and gentamicin IM for 7 days (= intervention group) compared with the infants who received the standard of care (procaine penicillin and

gentamicin IM for 7 days)"
WHO_pg13_other-studies_chunk4,WHO,12,Other studies,,,paragraph,787,"Source: WHO
Section: Other studies

A meta-analysis by Longombe et al. (2022) (70) of pooled individual patient-level data from three trials in Africa and Asia (65-67) (including 5075 intention- to-treat [ITT] participants and 4729 per protocol [PP] participants analysed for the primary outcome)
reported a reduced risk of the primary outcome (poor clinical outcome defined as death by day 15, treatment failure by day 7 or non-fatal relapse between days 8 and 15) in infants who received oral amoxicillin for 7 days and gentamicin IM for 7 days (= intervention group) compared with the infants who received the standard of care (procaine penicillin and gentamicin IM for 7 days) (= control group)
(ITT analysis RR 0.84, 95% CI: 0.72 to 0.99; PP analysis RR 0.81, 95% CI: 0.69 to 0.96)."
